"Text-raw","IsAVerse","Verse-temp","Chapter 1","AnyChapter","IsABook","Type","Chapter","Text"
"BOOK: THE FIRST BOOK OF NEPHI",0,1,0,0,1,"pericope",1,"THE FIRST BOOK OF NEPHI"
"HIS REIGN AND MINISTRY",0,1,0,0,0,"pericope",1,"HIS REIGN AND MINISTRY"
"An account of Lehi and his wife Sariah, and his four sons, being called (beginning at the eldest) Laman, Lemuel, Sam, and Nephi. The Lord warns Lehi to depart out of the land of Jerusalem because he prophesieth unto the people concerning their iniquity; and they seek to destroy his life. He taketh three days' journey into the wilderness with his family. Nephi taketh his brethren and returns to the land of Jerusalem after the record of the Jews. The account of their sufferings. They take the daughters of Ishmael to wife. They take their families and depart into the wilderness. Their sufferings and afflictions in the wilderness. The course of their travels. They come to the large waters. Nephi's brethren rebelleth against him. He confoundeth them and buildeth a ship. They call the place Bountiful. They cross the large waters into the promised land. This is according to the account of Nephi; or in other words, I, Nephi wrote this record.",0,1,0,0,0,"pericope",1,"An account of Lehi and his wife Sariah, and his four sons, being called (beginning at the eldest) Laman, Lemuel, Sam, and Nephi. The Lord warns Lehi to depart out of the land of Jerusalem because he prophesieth unto the people concerning their iniquity; and they seek to destroy his life. He taketh three days' journey into the wilderness with his family. Nephi taketh his brethren and returns to the land of Jerusalem after the record of the Jews. The account of their sufferings. They take the daughters of Ishmael to wife. They take their families and depart into the wilderness. Their sufferings and afflictions in the wilderness. The course of their travels. They come to the large waters. Nephi's brethren rebelleth against him. He confoundeth them and buildeth a ship. They call the place Bountiful. They cross the large waters into the promised land. This is according to the account of Nephi; or in other words, I, Nephi wrote this record."
"CHAPTER 1",0,1,1,1,0,"pericope",1,"CHAPTER 1"
"Lehi prophesies the destruction of Jerusalem and takes his family into the wilderness. Laman and Lemuel begin a pattern of rebellion. An angel chastens them and proclaims that the Lord has chosen Nephi to rule over them. Nephi and his brothers return to Jerusalem to get the brass plates from Laban.",0,1,0,0,0,"pericope",1,"Lehi prophesies the destruction of Jerusalem and takes his family into the wilderness. Laman and Lemuel begin a pattern of rebellion. An angel chastens them and proclaims that the Lord has chosen Nephi to rule over them. Nephi and his brothers return to Jerusalem to get the brass plates from Laban."
"1 I, Nephi, having been born of goodly parents, therefore, I was taught somewhat in all the learning of my father; and having seen many afflictions in the course of my days--nevertheless, having been highly favored of the Lord in all my days, yea, having had a great knowledge of the goodness and the mysteries of God, therefore, I make a record of my proceedings in my days; yea, I make a record in the language of my father, which consists of the learning of the Jews and the language of the Egyptians.",1,1,0,0,0,"verse",1,"I, Nephi, having been born of goodly parents, therefore, I was taught somewhat in all the learning of my father; and having seen many afflictions in the course of my days--nevertheless, having been highly favored of the Lord in all my days, yea, having had a great knowledge of the goodness and the mysteries of God, therefore, I make a record of my proceedings in my days; yea, I make a record in the language of my father, which consists of the learning of the Jews and the language of the Egyptians."
"2 And I know that the record which I make is true; and I make it with mine own hand; and I make it according to my knowledge.",1,2,0,0,0,"verse",1,"And I know that the record which I make is true; and I make it with mine own hand; and I make it according to my knowledge."
"3 For it came to pass in the commencement of the first year of the reign of Zedekiah, king of Judah (my father Lehi having dwelt at Jerusalem in all his days), and in that same year there came many prophets, prophesying unto the people that they must repent or the great city Jerusalem must be destroyed.",1,3,0,0,0,"verse",1,"For it came to pass in the commencement of the first year of the reign of Zedekiah, king of Judah (my father Lehi having dwelt at Jerusalem in all his days), and in that same year there came many prophets, prophesying unto the people that they must repent or the great city Jerusalem must be destroyed."
"4 Wherefore, it came to pass that my father Lehi, as he went forth, prayed unto the Lord, yea, even with all his heart in behalf of his people.",1,4,0,0,0,"verse",1,"Wherefore, it came to pass that my father Lehi, as he went forth, prayed unto the Lord, yea, even with all his heart in behalf of his people."
"5 And it came to pass as he prayed unto the Lord, there came a pillar of fire and dwelt upon a rock before him; and he saw and heard much; and because of the things which he saw and heard, he did quake and tremble exceedingly.",1,5,0,0,0,"verse",1,"And it came to pass as he prayed unto the Lord, there came a pillar of fire and dwelt upon a rock before him; and he saw and heard much; and because of the things which he saw and heard, he did quake and tremble exceedingly."
